Clock, Solids Loading, Box Size, AAR, Ellipsoid count, Ellipsoid VolFrac, Number of Captured Particles, Number of Tangles with Particles, Most Tangles in Ellipsoid
0.000000, 0.023200, 7.121042e-07, 1.000000e-08, 0, 0.000000, 0, 0, 0
145.698759, 0.023200, 7.122229e-07, 1.000231e-08, 0, 0.000000, 0, 0, 0
291.465010, 0.023200, 7.123415e-07, 1.000462e-08, 0, 0.000000, 0, 0, 0
437.225947, 0.023200, 7.123415e-07, 1.000462e-08, 0, 0.000000, 0, 0, 0
583.059692, 0.023200, 7.124601e-07, 1.000693e-08, 0, 0.000000, 0, 0, 0
728.960929, 0.023200, 7.125786e-07, 1.000924e-08, 0, 0.000000, 0, 0, 0
874.929661, 0.023200, 7.126971e-07, 1.001155e-08, 0, 0.000000, 0, 0, 0
1020.965886, 0.023200, 7.128156e-07, 1.001261e-08, 0, 0.000000, 0, 0, 0
1166.997553, 0.023200, 7.128156e-07, 1.001261e-08, 0, 0.000000, 0, 0, 0
1313.029221, 0.023200, 7.128156e-07, 1.001261e-08, 0, 0.000000, 0, 0, 0
1459.133685, 0.023200, 7.129340e-07, 1.001492e-08, 0, 0.000000, 0, 0, 0
1605.305641, 0.023200, 7.130524e-07, 1.001723e-08, 0, 0.000000, 0, 0, 0
1751.472298, 0.023200, 7.130524e-07, 1.001723e-08, 0, 0.000000, 0, 0, 0
1897.711747, 0.023200, 7.131707e-07, 1.001954e-08, 0, 0.000000, 0, 0, 0
2043.945899, 0.023200, 7.131707e-07, 1.001954e-08, 0, 0.000000, 0, 0, 0
2190.180051, 0.023200, 7.131707e-07, 1.001954e-08, 0, 0.000000, 0, 0, 0
2336.486993, 0.023200, 7.132891e-07, 1.002185e-08, 0, 0.000000, 0, 0, 0
2482.788641, 0.023200, 7.132891e-07, 1.002185e-08, 0, 0.000000, 0, 0, 0
2629.163076, 0.023200, 7.134073e-07, 1.002416e-08, 0, 0.000000, 0, 0, 0
2775.605005, 0.023200, 7.135256e-07, 1.002647e-08, 0, 0.000000, 0, 0, 0
2922.114428, 0.023200, 7.136437e-07, 1.002878e-08, 0, 0.000000, 0, 0, 0
3068.691345, 0.023200, 7.137619e-07, 1.003109e-08, 0, 0.000000, 0, 0, 0
3215.335758, 0.023200, 7.138800e-07, 1.003340e-08, 0, 0.000000, 0, 0, 0
3361.974893, 0.023200, 7.138800e-07, 1.003340e-08, 0, 0.000000, 0, 0, 0
3508.614028, 0.023200, 7.138800e-07, 1.003340e-08, 0, 0.000000, 0, 0, 0
3655.253163, 0.023200, 7.138800e-07, 1.003340e-08, 0, 0.000000, 0, 0, 0
3801.965072, 0.023200, 7.139981e-07, 1.003571e-08, 0, 0.000000, 0, 0, 0
3948.744476, 0.023200, 7.141161e-07, 1.003802e-08, 0, 0.000000, 0, 0, 0
4095.518609, 0.023200, 7.141161e-07, 1.003802e-08, 0, 0.000000, 0, 0, 0
4242.292742, 0.023200, 7.141161e-07, 1.003802e-08, 0, 0.000000, 0, 0, 0
4389.139644, 0.023200, 7.142341e-07, 1.004033e-08, 0, 0.000000, 0, 0, 0
4536.054042, 0.023200, 7.143521e-07, 1.004264e-08, 0, 0.000000, 0, 0, 0
4683.035939, 0.023200, 7.144700e-07, 1.004495e-08, 0, 0.000000, 0, 0, 0
4830.012573, 0.023200, 7.144700e-07, 1.004495e-08, 0, 0.000000, 0, 0, 0
4976.989207, 0.023200, 7.144700e-07, 1.004495e-08, 0, 0.000000, 0, 0, 0
5123.965841, 0.023200, 7.144700e-07, 1.004495e-08, 0, 0.000000, 0, 0, 0
5270.942475, 0.023200, 7.144700e-07, 1.004495e-08, 0, 0.000000, 0, 0, 0
5417.919109, 0.023200, 7.144700e-07, 1.004495e-08, 0, 0.000000, 0, 0, 0
5564.895743, 0.023200, 7.144700e-07, 1.004495e-08, 0, 0.000000, 0, 0, 0
5711.945137, 0.023200, 7.145879e-07, 1.004601e-08, 0, 0.000000, 0, 0, 0
5858.989972, 0.023200, 7.145879e-07, 1.004601e-08, 0, 0.000000, 0, 0, 0
6006.034807, 0.023200, 7.145879e-07, 1.004601e-08, 0, 0.000000, 0, 0, 0
6153.152401, 0.023200, 7.147057e-07, 1.004832e-08, 0, 0.000000, 0, 0, 0
6300.264735, 0.023200, 7.147057e-07, 1.004832e-08, 0, 0.000000, 0, 0, 0
6447.449824, 0.023200, 7.148235e-07, 1.005063e-08, 0, 0.000000, 0, 0, 0
6594.629658, 0.023200, 7.148235e-07, 1.005063e-08, 0, 0.000000, 0, 0, 0
6741.809491, 0.023200, 7.148235e-07, 1.005063e-08, 0, 0.000000, 0, 0, 0
6888.989324, 0.023200, 7.148235e-07, 1.005063e-08, 0, 0.000000, 0, 0, 0
7036.169157, 0.023200, 7.148235e-07, 1.005063e-08, 0, 0.000000, 0, 0, 0
7183.348991, 0.023200, 7.148235e-07, 1.005063e-08, 0, 0.000000, 0, 0, 0
7330.528824, 0.023200, 7.148235e-07, 1.005063e-08, 0, 0.000000, 0, 0, 0
7477.708657, 0.023200, 7.148235e-07, 1.005063e-08, 0, 0.000000, 0, 0, 0
7624.888490, 0.023200, 7.148235e-07, 1.005063e-08, 0, 0.000000, 0, 0, 0
7772.068323, 0.023200, 7.148235e-07, 1.005063e-08, 0, 0.000000, 0, 0, 0
7919.248157, 0.023200, 7.148235e-07, 1.005063e-08, 0, 0.000000, 0, 0, 0
8066.427990, 0.023200, 7.148235e-07, 1.005063e-08, 0, 0.000000, 0, 0, 0
8213.607823, 0.023200, 7.148235e-07, 1.005063e-08, 0, 0.000000, 0, 0, 0
8360.787656, 0.023200, 7.148235e-07, 1.005063e-08, 0, 0.000000, 0, 0, 0
8507.967490, 0.023200, 7.148235e-07, 1.005063e-08, 0, 0.000000, 0, 0, 0
8655.147323, 0.023200, 7.148235e-07, 1.005063e-08, 0, 0.000000, 0, 0, 0
8802.327156, 0.023200, 7.148235e-07, 1.005063e-08, 0, 0.000000, 0, 0, 0
8949.506989, 0.023200, 7.148235e-07, 1.005063e-08, 0, 0.000000, 0, 0, 0
9096.686822, 0.023200, 7.148235e-07, 1.005063e-08, 0, 0.000000, 0, 0, 0
9243.866656, 0.023200, 7.148235e-07, 1.005063e-08, 0, 0.000000, 0, 0, 0
9391.046489, 0.023200, 7.148235e-07, 1.005063e-08, 0, 0.000000, 0, 0, 0
9538.226322, 0.023200, 7.148235e-07, 1.005063e-08, 0, 0.000000, 0, 0, 0
