Clock, Solids Loading, Box Size, AAR, average X Loc, average Y Loc, average Z Loc, Largest Particle Radius, lengthOfSubparticleList, Total Ellipsoids that Merged, Max. WillFit retries, maxLenNpHoldAreClose, Viscosity Scaler
0.000000, 0.020000, 3.741102e-06, 5.000000e-08, 0.501820, 0.501820, 0.489442, 2.500000e-06, 2000, 0, 0, 0, 0.000000
21126.320032, 0.020000, 3.741725e-06, 5.001155e-08, 0.500132, 0.500132, 0.490785, 7.310044e-08, 2000, 0, 0, 0, 0.000000
42251.868986, 0.020000, 3.741725e-06, 5.001155e-08, 0.501831, 0.501831, 0.498541, 7.310044e-08, 2000, 0, 0, 0, 0.000000
