Clock, Solids Loading, BoxSize, AAR, Iteration, Smallest Particle Radius, AAR, Largest Particle Radius, Max. Polymer Radius, Max. Tangle Radius, agglomerationsAccepted, agglomerationsRejected, particlesDidNotApproach, last Dim, last AAF, Radius of Gyration, Average approach prob, Average escape prob
0.000000, 0.020000, 7.482204e-07, 1.000000e-08, 0, 2.500000e-06, 1.000000e-08, 2.500000e-06, 0.000000e+00, 0.000000e+00, 0, 0, 0, 0.000000e+00, 0.000000e+00, 0.000000e+00,  0.00,  0.00
169.010560, 0.020000, 7.483451e-07, 1.000231e-08, 1, 1.000000e-08, 1.000231e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 1, 0, 0, 1.183358e-02, 1.239829e-27, 0.000000e+00,  0.95,  0.00
338.099412, 0.020000, 7.484697e-07, 1.000462e-08, 2, 1.000000e-08, 1.000462e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 2, 0, 0, 1.182810e-02, 1.239874e-27, 0.000000e+00,  0.95,  0.00
507.182098, 0.020000, 7.484697e-07, 1.000462e-08, 3, 1.000000e-08, 1.000462e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 2, 1, 1, 1.182853e-02, 1.239920e-27, 0.000000e+00,  0.23,  0.00
676.349242, 0.020000, 7.485943e-07, 1.000693e-08, 4, 1.000000e-08, 1.000693e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 3, 1, 1, 1.182263e-02, 1.239920e-27, 0.000000e+00,  0.58,  0.00
845.594677, 0.020000, 7.487189e-07, 1.000924e-08, 5, 1.000000e-08, 1.000924e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 4, 1, 1, 1.181716e-02, 1.239965e-27, 0.000000e+00,  0.47,  0.00
1014.833955, 0.020000, 7.487189e-07, 1.000924e-08, 6, 1.000000e-08, 1.000924e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 4, 2, 2, 1.181759e-02, 1.240010e-27, 0.000000e+00,  0.62,  0.00
1184.157684, 0.020000, 7.488434e-07, 1.001155e-08, 7, 1.000000e-08, 1.001155e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 5, 2, 2, 1.181169e-02, 1.240010e-27, 0.000000e+00,  0.23,  0.00
1353.559705, 0.020000, 7.489679e-07, 1.001386e-08, 8, 1.000000e-08, 1.001386e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 6, 2, 2, 1.180623e-02, 1.240055e-27, 0.000000e+00,  0.59,  0.00
1523.040021, 0.020000, 7.490923e-07, 1.001617e-08, 9, 1.000000e-08, 1.001617e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 7, 2, 2, 1.180078e-02, 1.240100e-27, 0.000000e+00,  0.64,  0.00
1692.514189, 0.020000, 7.490923e-07, 1.001617e-08, 10, 1.000000e-08, 1.001617e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 7, 3, 3, 1.180121e-02, 1.240145e-27, 0.000000e+00,  0.68,  0.00
1862.072798, 0.020000, 7.492167e-07, 1.001848e-08, 11, 1.000000e-08, 1.001848e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 8, 3, 3, 1.179533e-02, 1.240145e-27, 0.000000e+00,  0.70,  0.00
2031.709703, 0.020000, 7.493410e-07, 1.002079e-08, 12, 1.000000e-08, 1.002079e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 9, 3, 3, 1.178989e-02, 1.240190e-27, 0.000000e+00,  0.71,  0.00
2201.340467, 0.020000, 7.493410e-07, 1.002079e-08, 13, 1.000000e-08, 1.002079e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 9, 4, 4, 1.179031e-02, 1.240235e-27, 0.000000e+00,  0.26,  0.00
2371.055667, 0.020000, 7.494653e-07, 1.002310e-08, 14, 1.000000e-08, 1.002310e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 10, 4, 4, 1.178445e-02, 1.240235e-27, 0.000000e+00,  0.60,  0.00
2540.849162, 0.020000, 7.495896e-07, 1.002541e-08, 15, 1.000000e-08, 1.002541e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 11, 4, 4, 1.177901e-02, 1.240280e-27, 0.000000e+00,  0.65,  0.00
2710.720954, 0.020000, 7.497138e-07, 1.002772e-08, 16, 1.000000e-08, 1.002772e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 12, 4, 4, 1.177359e-02, 1.240325e-27, 0.000000e+00,  0.21,  0.00
2880.586616, 0.020000, 7.497138e-07, 1.002772e-08, 17, 1.000000e-08, 1.002772e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 12, 5, 5, 1.177401e-02, 1.240369e-27, 0.000000e+00,  0.54,  0.00
3050.536705, 0.020000, 7.498380e-07, 1.003003e-08, 18, 1.000000e-08, 1.003003e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 13, 5, 5, 1.176816e-02, 1.240369e-27, 0.000000e+00,  0.64,  0.00
3220.480668, 0.020000, 7.498380e-07, 1.003003e-08, 19, 1.000000e-08, 1.003003e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 13, 6, 6, 1.176859e-02, 1.240414e-27, 0.000000e+00,  0.67,  0.00
3390.424631, 0.020000, 7.498380e-07, 1.003003e-08, 20, 1.000000e-08, 1.003003e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 13, 7, 7, 1.176859e-02, 1.240414e-27, 0.000000e+00,  0.38,  0.00
